Data,Open,High,Low,Close,ProximoClose,VariacaoReal(%),PredicaoModelo(%),ErroAbsoluto(%),AcertoDirecao,SMA20,SMA50,SMA200,RSI14,MACD,BBPosition,StochK,CCI20
2025-09-17 10:00:00,1.18452,1.18464,1.18324,1.18347,1.1837,0.01943437518483379,-0.006610827,0.026045202239662196,0,1.1847155,1.1854757999999999,1.18072165,31.53526970954401,-0.0003618213969867057,0.010641728545509922,9.465016681061403,-130.99594172044212
2025-09-17 10:15:00,1.18347,1.18381,1.18328,1.1837,1.18422,0.04393004984371682,-0.02913011,0.07306016036086102,0,1.18462,1.1854232,1.18077155,30.379746835442276,-0.0003916336444216295,0.13966993814744985,19.574459755546226,-130.21048182155866
2025-09-17 10:30:00,1.1837,1.18427,1.18359,1.18422,1.18359,-0.05319957440341579,-0.019843066,0.033356508292208785,1,1.1845575,1.185377,1.1808268,48.877805486285204,-0.00036904627538136836,0.3619794254821086,53.2608406191119,-65.27051630302023
2025-09-17 10:45:00,1.18422,1.18431,1.18334,1.18359,1.18401,0.03548526094340836,-0.0029937068,0.038478967790018075,0,1.1844484999999998,1.1853145999999999,1.1808763500000001,43.94618834080722,-0.00039740037342261836,0.12812709164851455,19.02172879253221,-82.68575228686929
2025-09-17 11:00:00,1.18359,1.18421,1.18354,1.18401,1.18373,-0.023648448915132302,-0.0053565376,0.018291911271312255,1,1.1843875,1.1852614,1.1809266999999999,45.7700650759231,-0.00038158206991156796,0.3297147392783587,41.84780334358534,-52.834381776808335
2025-09-17 11:15:00,1.18401,1.18405,1.18349,1.18373,1.18428,0.04646329821834798,0.005140237,0.04132306117380495,1,1.184304,1.1852048000000002,1.18097205,46.78492239467729,-0.0003871764808940359,0.22312293095205965,26.63042030954992,-58.857898987826346
2025-09-17 11:30:00,1.18373,1.18445,1.18345,1.18428,1.18387,-0.03462019117100867,-0.00975832,0.02486187146528395,1,1.1842555000000001,1.1851509999999998,1.18101985,52.47524752475309,-0.0003432726549583709,0.5130862879341114,56.52170841211605,-21.102846400575284
2025-09-17 11:45:00,1.18428,1.18457,1.1838,1.18387,1.1836,-0.02280655815249922,0.0034687263,0.02627528444847705,0,1.1841709999999999,1.1850850000000002,1.18106625,43.91217564870309,-0.00033766968415460674,0.29114093891305803,34.23911182656763,-11.929037520406602
2025-09-17 12:00:00,1.18387,1.18396,1.18345,1.1836,1.18339,-0.01774248056776305,0.00055128697,0.018293767536165614,0,1.1841355,1.185017,1.1811095,41.66666666666737,-0.00035097026618391425,0.14797279473688066,19.565206758036922,-49.20087475904549
2025-09-17 12:15:00,1.1836,1.18381,1.18338,1.18339,1.1839,0.0430965277719104,0.0030835457,0.040012982057293624,1,1.1840985,1.1849433999999999,1.181147,36.363636363635976,-0.0003741434257091836,0.07345208436404983,8.771924694774047,-64.40413870398758
