datetime,open,high,low,close,atr_pct,confluence,regime,signal,entry_price,exit_price,exit_time,movement_pct,result
2023-01-01 22:00:00,1.06971,1.0707,1.0686,1.06888,0.1965,1,RANGE,HOLD,,,,,
2023-01-01 22:15:00,1.06888,1.0691,1.06869,1.06903,0.1174,1,RANGE,HOLD,,,,,
2023-01-01 22:30:00,1.06901,1.06929,1.06845,1.06851,0.1045,1,RANGE,HOLD,,,,,
2023-01-01 22:45:00,1.06851,1.07006,1.06841,1.06842,0.117,2,RANGE,HOLD,,,,,
2023-01-01 23:00:00,1.06842,1.06958,1.06842,1.06861,0.1153,1,RANGE,HOLD,,,,,
2023-01-01 23:15:00,1.0686,1.06917,1.0686,1.06917,0.1049,1,RANGE,HOLD,,,,,
2023-01-01 23:30:00,1.06917,1.06918,1.06908,1.06917,0.0913,2,RANGE,HOLD,,,,,
2023-01-01 23:45:00,1.06917,1.06961,1.06916,1.06961,0.0851,1,RANGE,HOLD,,,,,
2023-01-02 00:00:00,1.06961,1.06977,1.06961,1.06977,0.0773,1,RANGE,HOLD,,,,,
2023-01-02 00:15:00,1.06977,1.0698,1.06946,1.06977,0.0727,1,RANGE,HOLD,,,,,
2023-01-02 00:30:00,1.06977,1.06978,1.06907,1.06942,0.0722,0,RANGE,HOLD,,,,,
2023-01-02 00:45:00,1.06942,1.07052,1.06942,1.07034,0.0747,1,RANGE,HOLD,,,,,
2023-01-02 01:00:00,1.07034,1.07055,1.07024,1.07037,0.0711,1,RANGE,HOLD,,,,,
2023-01-02 01:15:00,1.07037,1.07037,1.07021,1.07035,0.0671,1,RANGE,HOLD,,,,,
2023-01-02 01:30:00,1.07035,1.07035,1.06995,1.06997,0.0558,0,RANGE,HOLD,,,,,
2023-01-02 01:45:00,1.06997,1.07014,1.06918,1.06943,0.0595,0,RANGE,HOLD,,,,,
2023-01-02 02:00:00,1.06943,1.06943,1.06856,1.0688,0.0597,0,RANGE,HOLD,,,,,
2023-01-02 02:15:00,1.0688,1.06899,1.0688,1.06895,0.05,0,RANGE,HOLD,,,,,
2023-01-02 02:30:00,1.06895,1.06897,1.06883,1.06884,0.0432,0,RANGE,HOLD,,,,,
2023-01-02 02:45:00,1.06884,1.06901,1.06874,1.06878,0.0412,1,RANGE,HOLD,,,,,
2023-01-02 03:00:00,1.06878,1.06884,1.06878,1.06878,0.0409,1,UP,HOLD,,,,,
2023-01-02 03:15:00,1.06878,1.06882,1.06878,1.06881,0.0382,1,UP,HOLD,,,,,
2023-01-02 03:30:00,1.06881,1.07019,1.06874,1.06892,0.0468,0,UP,HOLD,,,,,
2023-01-02 03:45:00,1.06892,1.06899,1.06879,1.06887,0.0458,1,UP,HOLD,,,,,
2023-01-02 04:00:00,1.06899,1.07018,1.06876,1.06997,0.0505,0,UP,HOLD,,,,,
2023-01-02 04:15:00,1.06997,1.06997,1.06995,1.06996,0.0433,1,UP,HOLD,,,,,
2023-01-02 04:30:00,1.06996,1.06997,1.0698,1.06981,0.0424,0,UP,HOLD,,,,,
2023-01-02 04:45:00,1.06981,1.06984,1.0698,1.06982,0.0416,1,UP,HOLD,,,,,
2023-01-02 05:00:00,1.06982,1.06989,1.06873,1.06935,0.0467,0,UP,HOLD,,,,,
2023-01-02 05:15:00,1.06935,1.0695,1.06902,1.06906,0.0435,0,UP,HOLD,,,,,
2023-01-02 05:30:00,1.06906,1.06968,1.06903,1.0695,0.042,0,UP,HOLD,,,,,
2023-01-02 05:45:00,1.0695,1.06986,1.06824,1.06913,0.0516,1,UP,HOLD,,,,,
2023-01-02 06:00:00,1.06913,1.06953,1.0691,1.06935,0.0535,0,UP,HOLD,,,,,
2023-01-02 06:15:00,1.06935,1.06948,1.06924,1.06931,0.0533,1,DOWN,HOLD,,,,,
2023-01-02 06:30:00,1.06931,1.06973,1.06918,1.06933,0.0566,1,DOWN,HOLD,,,,,
2023-01-02 06:45:00,1.06933,1.06941,1.06618,1.06828,0.078,2,DOWN,BUY (BULLISH),1.06828,1.068386828,2023-01-02 07:00:00,0.06,WIN ✅ (+0.01%)
2023-01-02 07:00:00,1.06828,1.06896,1.06809,1.06816,0.0741,1,DOWN,HOLD,,,,,
2023-01-02 07:15:00,1.06814,1.06838,1.06643,1.06789,0.0858,1,DOWN,HOLD,,,,,
2023-01-02 07:30:00,1.06789,1.06842,1.06773,1.06801,0.0809,1,DOWN,HOLD,,,,,
2023-01-02 07:45:00,1.068,1.06822,1.06627,1.06785,0.0938,1,DOWN,HOLD,,,,,
2023-01-02 08:00:00,1.06789,1.068,1.06707,1.06743,0.099,1,DOWN,HOLD,,,,,
2023-01-02 08:15:00,1.06742,1.06779,1.06718,1.06766,0.1028,1,DOWN,HOLD,,,,,
2023-01-02 08:30:00,1.06766,1.06873,1.06746,1.06795,0.1035,1,DOWN,HOLD,,,,,
2023-01-02 08:45:00,1.06795,1.06963,1.06783,1.06787,0.1123,2,DOWN,HOLD,,,,,
2023-01-02 09:00:00,1.06787,1.06993,1.06785,1.0686,0.1218,1,DOWN,HOLD,,,,,
2023-01-02 09:15:00,1.06862,1.06863,1.06796,1.06833,0.1155,1,DOWN,HOLD,,,,,
2023-01-02 09:30:00,1.06833,1.06841,1.06812,1.06818,0.1145,1,DOWN,HOLD,,,,,
2023-01-02 09:45:00,1.06818,1.06831,1.06764,1.06786,0.1175,1,DOWN,HOLD,,,,,
