estrategia,trades,wr,pf,expectancy,criteria,avg_ganho,avg_perda
S3_RANGE,15469,50.96644902708643,1.1383368948645358,0.0021157690784149325,FAR BELOW + SMA + RANGE,0.034159802531938274,-0.031191437216585474
S4_HORARIO,2055,51.338199513382,1.1081700493170565,0.0016435808511834037,FAR BELOW + SMA + RANGE + HORÁRIO,0.03279721459513842,-0.03122350274868915
S5_ULTRA,1708,50.76112412177986,1.0373417473628104,0.000587738220538269,POI + SMA + RANGE + HORÁRIO + RSI,0.032161526797005596,-0.03196217223819796
S2_SMA,32481,48.606877867060746,0.9532879902761624,-0.0007359655688068348,FAR BELOW + SMA,0.030899905875261674,-0.030656719079796693
S1_BASELINE,71754,48.2495749365889,0.9029492920555925,-0.0015778881005244095,FAR BELOW,0.030426202192873054,-0.03141694258165208
