date,analysis_hour,analysis_time,close,high_day,low_day,sma20,sma50,sma200,dist_res_pct,dist_sup_pct,near_res,near_sup,pos_in_range,poi_strength,rejection_res,rejection_sup,rejection_type,dist_sma200_pct,pos_vs_trend,next_close,change_pct,result
2026-01-02,09:00,08:45:00,1.17283,1.17646,1.17129,1.174484,,1.1751964000000001,0.05968469428648184,0.09464287236853972,False,False,1.0,0.8816281984601552,,True,BULLISH_REJECTION,-0.2013620872221955,BELOW_SMA200,1.1705,-0.19866476812495787,DOWN
2026-01-02,12:00,11:45:00,1.17215,1.17646,1.17129,1.1726429999999999,,1.1751964000000001,0.001706266262861496,0.036684724651275896,True,True,1.0,0.8821396578936346,,True,BULLISH_REJECTION,-0.2592247559642044,BELOW_SMA200,1.1705,-0.14076696668514518,DOWN
2026-01-02,14:00,13:45:00,1.17212,1.17646,1.17129,1.172202,1.1739038000000002,1.1751964000000001,-0.0008531549670548636,0.03412619868272497,True,True,0.9756097560979309,0.8821622359485579,,True,BULLISH_REJECTION,-0.26177752076164373,BELOW_SMA200,1.1705,-0.1382111046650475,DOWN
2026-01-02,18:00,17:45:00,1.17304,1.17646,1.17129,1.1731875,1.1730948,1.1751964000000001,0.07757621223489296,0.11252813203300721,False,False,1.0,0.8814703675919182,,True,BULLISH_REJECTION,-0.18349273364010119,BELOW_SMA200,1.1705,-0.21653140557866624,DOWN
2026-01-05,09:00,08:45:00,1.1683,1.17285,1.16588,1.1684549999999998,,1.1737299,-0.2858854746212549,-0.2525036377642736,False,False,0.0,1.0,True,,BEARISH_REJECTION,-0.462619210774149,BELOW_SMA200,1.16868,0.032525892322181546,UP
2026-01-05,12:00,11:45:00,1.16812,1.17285,1.16588,1.168419,,1.1737299,-0.301338903537305,-0.2679519227476505,False,False,0.0,1.0,True,,BEARISH_REJECTION,-0.4779549366511031,BELOW_SMA200,1.16868,0.04794028010819898,UP
2026-01-05,14:00,13:45:00,1.16742,1.17285,1.16588,1.1678,1.1682502,1.1737299,-0.3614808723510059,-0.32807387229960083,False,False,0.0,1.0,True,,BEARISH_REJECTION,-0.5375938706170986,BELOW_SMA200,1.16868,0.10793030785835765,UP
2026-01-05,18:00,17:45:00,1.17141,1.17285,1.16588,1.169375,1.1687798,1.1737299,-0.019634457619446006,0.013658753126587618,True,True,0.41025641025670223,1.0,True,,BEARISH_REJECTION,-0.19765194701098107,BELOW_SMA200,1.16868,-0.23305247522217848,DOWN
2026-01-05,23:00,22:45:00,1.17186,1.17285,1.16588,1.1722844999999997,1.1702894000000001,1.1737299,0.018773573635066217,0.05205399962452848,True,False,1.0,1.0,,True,BULLISH_REJECTION,-0.15931263231857704,BELOW_SMA200,1.16868,-0.27136347345245687,DOWN
2026-01-06,09:00,08:45:00,1.17281,1.17425,1.16836,1.173269,,1.1716595,0.33679794681149533,0.3547036604394524,False,False,1.0,1.0,,True,BULLISH_REJECTION,0.09819405723248367,ABOVE_SMA200,1.16764,-0.4408216164596053,DOWN
2026-01-06,12:00,11:45:00,1.17058,1.17425,1.16836,1.171931,,1.1716595,0.14693570708537168,0.16487553178765973,False,False,1.0,1.0,,True,BULLISH_REJECTION,-0.09213427621251072,BELOW_SMA200,1.16764,-0.2511575458319758,DOWN
2026-01-06,14:00,13:45:00,1.17107,1.17425,1.16836,1.1709425000000002,1.172272,1.1716595,0.18871630218518495,0.20664862049237778,False,False,1.0,1.0,,True,BULLISH_REJECTION,-0.050313252271672826,BELOW_SMA200,1.16764,-0.2928945323507599,DOWN
2026-01-06,18:00,17:45:00,1.17003,1.17425,1.16836,1.1698805,1.1711596,1.1716595,0.09999743596317133,0.11794569370015613,False,False,1.0,1.0,,True,BULLISH_REJECTION,-0.13907624186038456,BELOW_SMA200,1.16764,-0.20426826662563288,DOWN
2026-01-06,23:00,22:45:00,1.16878,1.17425,1.16836,1.1688560000000003,1.1696431999999999,1.1716595,-0.006844744092137101,0.01112270914970854,True,True,0.619047619047317,1.0,,True,BULLISH_REJECTION,-0.24576252742372212,BELOW_SMA200,1.16764,-0.0975376033128492,DOWN
2026-01-07,09:00,08:45:00,1.16854,1.17023,1.16726,1.168999,,1.1703396000000001,0.07530764886097113,0.08557687370564036,False,False,1.0,0.5083266298115836,,True,BULLISH_REJECTION,-0.1537673338576456,BELOW_SMA200,1.16577,-0.2370479401646447,DOWN
2026-01-07,12:00,11:45:00,1.16889,1.17023,1.16726,1.1685935,,1.1703396000000001,0.10522803685548378,0.11549418679259488,False,False,1.0,0.5081744218874554,,True,BULLISH_REJECTION,-0.12386148430764556,BELOW_SMA200,1.16577,-0.26691989836511665,DOWN
2026-01-07,14:00,13:45:00,1.16912,1.17023,1.16726,1.1686915,1.1690274,1.1703396000000001,0.12488025181333112,0.1351443820993495,False,False,1.0,0.5080744491583651,,True,BULLISH_REJECTION,-0.10420906888908221,BELOW_SMA200,1.16577,-0.2865403038182534,DOWN
2026-01-07,18:00,17:45:00,1.16876,1.17023,1.16726,1.1689064999999998,1.1688023999999997,1.1703396000000001,0.09411684178104152,0.10438413361169092,False,False,1.0,0.5082309456176014,,True,BULLISH_REJECTION,-0.13496937128335443,BELOW_SMA200,1.16577,-0.2558266881139026,DOWN
2026-01-07,23:00,22:45:00,1.1677,1.17023,1.16726,1.1680089999999999,1.1685056,1.1703396000000001,0.003425537381180098,0.013702149524701376,True,True,1.0,0.5086923011047597,,True,BULLISH_REJECTION,-0.22554137277762676,BELOW_SMA200,1.16577,-0.16528217864177336,DOWN
2026-01-08,09:00,08:45:00,1.1671,1.16826,1.16422,1.167817,,1.16990955,0.11395767286436922,0.12766686659240778,False,False,1.0,0.6923142832662228,,True,BULLISH_REJECTION,-0.2401510441555118,BELOW_SMA200,1.16315,-0.3384457201610933,DOWN
2026-01-08,12:00,11:45:00,1.16772,1.16826,1.16422,1.1676024999999999,,1.16990955,0.1669920871441885,0.18069400198678245,False,False,1.0,0.6919466995512696,,True,BULLISH_REJECTION,-0.18715549420038363,BELOW_SMA200,1.16315,-0.39136094269175703,DOWN
2026-01-08,14:00,13:45:00,1.16625,1.16826,1.16422,1.1673880000000003,1.167635,1.16990955,0.041157556270099545,0.05487674169345971,True,False,1.0,0.6928188638799646,,True,BULLISH_REJECTION,-0.31280623361011684,BELOW_SMA200,1.16315,-0.26580921757771514,DOWN
2026-01-08,18:00,17:45:00,1.16502,1.16826,1.16422,1.1660495000000002,1.167,1.16990955,-0.06437657722614448,-0.050642907417906176,False,False,0.0,0.6935503253163111,True,,BEARISH_REJECTION,-0.41794256658560747,BELOW_SMA200,1.16315,-0.16051226588385079,DOWN
2026-01-08,23:00,22:45:00,1.16582,1.16826,1.16422,1.165218,1.1660148000000001,1.16990955,0.004288826748563715,0.018013072343933324,True,True,1.0,0.6930744025664414,,True,BULLISH_REJECTION,-0.34956121180479266,BELOW_SMA200,1.16315,-0.22902334837283392,DOWN
2026-01-09,09:00,08:45:00,1.16485,1.16603,1.16178,1.1649205,,1.1677842,0.1339228226810324,0.16740352835128097,False,False,1.0,0.7297076876850865,,True,BULLISH_REJECTION,-0.25126217669327167,BELOW_SMA200,1.16234,-0.21547838777525108,DOWN
2026-01-09,12:00,11:45:00,1.16456,1.16603,1.16178,1.16445,,1.1677842,0.10905406333723502,0.1425431064092872,False,False,1.0,0.7298894002884978,,True,BULLISH_REJECTION,-0.2760955320340873,BELOW_SMA200,1.16234,-0.19062993748712911,DOWN
2026-01-09,14:00,13:45:00,1.16448,1.16603,1.16178,1.1644215,1.1647863999999999,1.1677842,0.10219153613630327,0.13568287991205644,False,False,1.0,0.7299395438306996,,True,BULLISH_REJECTION,-0.28294611281776977,BELOW_SMA200,1.16234,-0.18377301456444342,DOWN
2026-01-09,18:00,17:45:00,1.16313,1.16603,1.16178,1.163603,1.1641602000000002,1.1677842,-0.013755986003278908,0.019774229879717012,True,True,0.5897435897436335,0.7307867564244521,,True,BULLISH_REJECTION,-0.3985496635422925,BELOW_SMA200,1.16234,-0.06792018089122183,DOWN
2026-01-12,09:00,08:45:00,1.16878,1.16981,1.16213,1.1669839999999998,,1.1655590999999998,0.167696230257188,0.1942196136141955,False,False,1.0,1.0,,True,BULLISH_REJECTION,0.2763394837722156,ABOVE_SMA200,1.16417,-0.39442837830900623,DOWN
2026-01-12,12:00,11:45:00,1.16781,1.16981,1.16213,1.1683005,,1.1655590999999998,0.08477406427415815,0.11131947833980518,False,False,1.0,1.0,,True,BULLISH_REJECTION,0.19311762054795564,ABOVE_SMA200,1.16417,-0.3116945393514431,DOWN
2026-01-12,14:00,13:45:00,1.16925,1.16981,1.16213,1.168567,1.1673619999999998,1.1655590999999998,0.20782552918536945,0.2343382510156053,False,False,1.0,1.0,,True,BULLISH_REJECTION,0.31666347935510547,ABOVE_SMA200,1.16417,-0.4344665383793007,DOWN
2026-01-12,18:00,17:45:00,1.16683,1.16981,1.16213,1.1678635,1.167943,1.1655590999999998,0.0008570228739461199,0.027424731966104572,True,True,1.0,1.0,,True,BULLISH_REJECTION,0.10903779997086256,ABOVE_SMA200,1.16417,-0.2279680844681836,DOWN
2026-01-12,23:00,22:45:00,1.16668,1.16981,1.16213,1.1668305,1.1675399999999998,1.1655590999999998,-0.01199986285871267,0.01457126204271981,True,True,0.5483870967741473,1.0,,True,BULLISH_REJECTION,0.09616843967844199,ABOVE_SMA200,1.16417,-0.21514039839544796,DOWN
2026-01-13,09:00,08:45:00,1.16689,1.16773,1.16338,1.166166,,1.1656744,0.21595865934236114,0.23309823548064135,False,False,1.0,0.7455715620152463,,True,BULLISH_REJECTION,0.10428297987841821,ABOVE_SMA200,1.16446,-0.2082458500801217,DOWN
2026-01-13,12:00,11:45:00,1.16682,1.16773,1.16338,1.1665750000000001,,1.1656744,0.20997240362695732,0.22711300800466577,False,False,1.0,0.7456162904303756,,True,BULLISH_REJECTION,0.09827787244876081,ABOVE_SMA200,1.16446,-0.2022591316569752,DOWN
2026-01-13,14:00,13:45:00,1.16681,1.16773,1.16338,1.1665155000000003,1.16625,1.1656744,0.2091171656053683,0.226257916884495,False,False,1.0,0.7456226806420676,,True,BULLISH_REJECTION,0.09741999995880431,ABOVE_SMA200,1.16446,-0.20140382752974798,DOWN
2026-01-13,18:00,17:45:00,1.16457,1.16773,1.16338,1.1652464999999999,1.1659244,1.1656744,0.017173720772491134,0.034347441544963206,True,True,1.0,0.7470568536025921,,True,BULLISH_REJECTION,-0.09474343779017583,BELOW_SMA200,1.16446,-0.009445546424865357,DOWN
2026-01-13,23:00,22:45:00,1.16432,1.16773,1.16338,1.1646245,1.1652492,1.1656744,-0.004294352068149947,0.012883056204487984,True,True,0.7500000000005551,0.7472172598598072,,True,BULLISH_REJECTION,-0.11619025003895501,BELOW_SMA200,1.16446,0.012024185790850368,UP
2026-01-14,09:00,08:45:00,1.16472,1.16613,1.1635,1.1645059999999998,,1.166244,0.005151452709659745,0.02318153719348792,True,True,1.0,0.4516106875472443,,True,BULLISH_REJECTION,-0.13067591344522078,BELOW_SMA200,1.16087,-0.3305515488701069,DOWN
2026-01-14,12:00,11:45:00,1.16466,1.16613,1.1635,1.1648479999999999,,1.166244,0.0,0.01803101334295361,True,True,1.0,0.45163395325676714,,True,BULLISH_REJECTION,-0.1358206344469965,BELOW_SMA200,1.16087,-0.3254168598560919,DOWN
2026-01-14,14:00,13:45:00,1.16497,1.16613,1.1635,1.1650055000000001,1.1646424,1.166244,0.02661012729941822,0.04463634256676789,True,True,1.0,0.4515137728868781,,True,BULLISH_REJECTION,-0.10923957593779667,BELOW_SMA200,1.16087,-0.3519403933148486,DOWN
