date,day_of_week,xgb_pred,xgb_prob,m15_trend,h4_trend,is_aligned,alignment_score,confidence_adjustment,final_pred,final_prob,result,change_pct,was_correct,current_close,next_close,reasoning
2026-03-30,Monday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,1.02%,❌,1.14564,1.15735,XGBoost DOWN mas tendência neutra
2026-03-31,Tuesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.14%,✅,1.15735,1.15894,XGBoost UP mas tendência neutra
2026-04-01,Wednesday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,DOWN,-0.42%,❌,1.15894,1.15412,XGBoost UP mas tendência neutra
2026-04-02,Thursday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.26%,❌,1.15412,1.15116,XGBoost UP mas tendência neutra
2026-04-03,Friday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,NO_DATA,N/A,WAIT,1.15116,N/A,XGBoost DOWN mas tendência neutra
2026-04-06,Monday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,UP,1.26%,❌,1.15405,1.16860,XGBoost DOWN mas tendência neutra
2026-04-07,Tuesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.23%,❌,1.16860,1.16588,XGBoost UP mas tendência neutra
2026-04-08,Wednesday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.28%,❌,1.16588,1.16912,XGBoost DOWN mas tendência neutra
2026-04-09,Thursday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.28%,❌,1.16912,1.17242,XGBoost DOWN mas tendência neutra
2026-04-10,Friday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,NO_DATA,N/A,WAIT,1.17242,N/A,XGBoost UP mas tendência neutra
2026-04-13,Monday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,UP,0.27%,✅,1.17664,1.17981,XGBoost UP mas tendência neutra
2026-04-14,Tuesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.07%,✅,1.17981,1.18064,XGBoost UP mas tendência neutra
2026-04-15,Wednesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.22%,❌,1.18064,1.17807,XGBoost UP mas tendência neutra
2026-04-16,Thursday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.13%,❌,1.17807,1.17651,XGBoost UP mas tendência neutra
2026-04-17,Friday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,NO_DATA,N/A,WAIT,1.17651,N/A,XGBoost DOWN mas tendência neutra
2026-04-20,Monday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.34%,❌,1.17838,1.17437,XGBoost UP mas tendência neutra
2026-04-21,Tuesday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,DOWN,-0.33%,❌,1.17437,1.17053,XGBoost UP mas tendência neutra
2026-04-22,Wednesday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,DOWN,-0.19%,✅,1.17053,1.16832,XGBoost DOWN mas tendência neutra
2026-04-23,Thursday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.31%,❌,1.16832,1.17200,XGBoost DOWN mas tendência neutra
2026-04-24,Friday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,NO_DATA,N/A,WAIT,1.17200,N/A,XGBoost UP mas tendência neutra
2026-04-27,Monday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.05%,✅,1.17227,1.17172,XGBoost DOWN mas tendência neutra
2026-04-28,Tuesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.28%,❌,1.17172,1.16843,XGBoost UP mas tendência neutra
2026-04-29,Wednesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.38%,✅,1.16843,1.17285,XGBoost UP mas tendência neutra
2026-04-30,Thursday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,DOWN,-0.11%,✅,1.17285,1.17155,XGBoost DOWN mas tendência neutra
2026-05-01,Friday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,NO_DATA,N/A,WAIT,1.17155,N/A,XGBoost DOWN mas tendência neutra
2026-05-04,Monday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.20%,❌,1.16914,1.17144,XGBoost DOWN mas tendência neutra
2026-05-05,Tuesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,UP,0.28%,✅,1.17144,1.17477,XGBoost UP mas tendência neutra
2026-05-06,Wednesday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.15%,✅,1.17477,1.17303,XGBoost DOWN mas tendência neutra
2026-05-07,Thursday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.45%,❌,1.17303,1.17832,XGBoost DOWN mas tendência neutra
2026-05-08,Friday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,NO_DATA,N/A,WAIT,1.17832,N/A,XGBoost UP mas tendência neutra
2026-05-11,Monday,UP,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,55.0%,DOWN,-0.37%,❌,1.17781,1.17347,XGBoost UP mas tendência neutra
2026-05-12,Tuesday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,DOWN,-0.16%,✅,1.17347,1.17155,XGBoost DOWN mas tendência neutra
2026-05-13,Wednesday,UP,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,90.0%,DOWN,-0.46%,❌,1.17155,1.16615,XGBoost UP mas tendência neutra
2026-05-14,Thursday,DOWN,90.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,90.0%,DOWN,-0.33%,✅,1.16615,1.16234,XGBoost DOWN mas tendência neutra
2026-05-15,Friday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,NO_DATA,N/A,WAIT,1.16234,N/A,XGBoost DOWN mas tendência neutra
2026-05-18,Monday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.41%,❌,1.16544,1.16065,XGBoost UP mas tendência neutra
2026-05-19,Tuesday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,UP,0.15%,❌,1.16065,1.16244,XGBoost DOWN mas tendência neutra
2026-05-20,Wednesday,UP,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,UP,80.0%,DOWN,-0.06%,❌,1.16244,1.16175,XGBoost UP mas tendência neutra
2026-05-21,Thursday,DOWN,55.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,55.0%,DOWN,-0.12%,✅,1.16175,1.16036,XGBoost DOWN mas tendência neutra
2026-05-22,Friday,DOWN,80.0%,NEUTRAL,NEUTRAL,❌,50%,-10%,DOWN,80.0%,NO_DATA,N/A,WAIT,1.16036,N/A,XGBoost DOWN mas tendência neutra
