name,trades,ganhos,perdas,wr,avg_ganho,avg_perda,pf,max_dd,sharpe,expectativa,confianca
BASELINE: FAR DO POI,109,0,109,0.0,,0.01959586032533197,0.0,-19990.568955875962,0.6133197122685036,,0.0
POI + REJEIÇÃO,103,0,103,0.0,,0.02252456560121067,0.0,-19990.568955875962,0.6895342722584297,,0.0
