datetime,open,high,low,close,next_close,change_pct,ganho,dist_res_pct,dist_sup_pct,near_res,near_sup,rsi_14,cci_20,bb_position,stoch_k,hora,estrategia
2023-01-01 22:30:00,1.06901,1.06929,1.06845,1.06851,1.06842,-0.008422944099741276,0,-0.14506181505085963,0.009358826777474145,0,1,0.0,-133.14646110721785,0.323223304703338,7.142848639484787,22,S2_MODERADA
2023-01-01 22:45:00,1.06851,1.07006,1.06841,1.06842,1.06861,0.01778326875200151,1,-0.15349768817507028,0.0009359615132479238,0,1,0.0,90.6305846311637,0.32285235235382725,0.6060602387419096,22,S1_CONSERVADORA
2023-01-01 23:00:00,1.06842,1.06958,1.06842,1.06861,1.06917,0.05240452550508548,1,-0.13569028925426033,0.018715901966103437,0,1,23.750000000012847,-15.616553546702768,0.46987812523498546,12.121204775026595,23,S1_CONSERVADORA
2023-01-01 23:15:00,1.0686,1.06917,1.0686,1.06917,1.06917,0.0,0,-0.08324214110011106,0.07108317666974119,0,0,55.14705882353037,100.02101281781144,0.8177768504088354,46.06057814509837,23,FORA
2023-01-01 23:30:00,1.06917,1.06918,1.06908,1.06917,1.06961,0.04115341807196198,1,-0.08324214110011106,0.07108317666974119,0,0,55.14705882353037,173.32920644747094,0.7560908942636134,46.06057814509837,23,FORA
2023-01-01 23:45:00,1.06917,1.06961,1.06916,1.06961,1.06977,0.014958723272983612,1,-0.04207140920523008,0.11219042454725255,1,0,66.1111111111116,227.70609961885478,0.8915149580849819,72.72722865015956,23,S3_AGRESSIVA
2023-01-02 00:00:00,1.06961,1.06977,1.06961,1.06977,1.06977,0.0,0,-0.07291286912137943,0.44775979883527034,0,0,68.87755102041112,214.5993536627937,0.8677388877504972,82.4241924701916,0,S3_AGRESSIVA
2023-01-02 00:15:00,1.06977,1.0698,1.06946,1.06977,1.06942,-0.032717313067301614,0,-0.07291286912137943,0.44775979883527034,0,0,68.87755102041112,150.33976177881522,0.8095061843272694,82.4241924701916,0,S3_AGRESSIVA
2023-01-02 00:30:00,1.06977,1.06978,1.06907,1.06942,1.07034,0.08602794037889995,1,-0.10566475285667495,0.41517832095902446,0,0,58.44155844155995,67.94748112133388,0.6344388192546503,61.21208411388834,0,S1_CONSERVADORA
2023-01-02 00:45:00,1.06942,1.07052,1.06942,1.07034,1.07037,0.0028028476932539653,1,-0.019619933852777754,0.5007754545284705,1,0,70.27863777089826,194.66682523273263,0.9518758833270882,91.46915096249428,0,S3_AGRESSIVA
2023-01-02 01:00:00,1.07034,1.07055,1.07024,1.07037,1.07035,-0.0018685127572830912,0,-0.016816614815423354,0.5035641880844947,1,0,70.55214723926397,198.70833990395641,0.8891441557711617,91.58874224825769,1,S3_AGRESSIVA
2023-01-02 01:15:00,1.07037,1.07037,1.07021,1.07035,1.06997,-0.035502405755110475,0,-0.01868547671322259,0.50170504975007,1,0,70.1219512195096,151.6171880851919,0.8364238752071987,90.65416324571831,1,S3_AGRESSIVA
2023-01-02 01:30:00,1.07035,1.07035,1.06995,1.06997,1.06943,-0.05046870473003775,0,-0.05420712730261623,0.46636821593129246,0,0,62.84153005464627,101.03369520821131,0.6869230678420838,72.89716219759455,1,S2_MODERADA
2023-01-02 01:45:00,1.06997,1.07014,1.06918,1.06943,1.0688,-0.0589098865751036,0,-0.10472868724458709,0.41610951628438186,0,0,54.76190476190665,16.026812416497492,0.487453377703908,47.66352912919724,1,S1_CONSERVADORA
2023-01-02 02:00:00,1.06943,1.06943,1.06856,1.0688,1.06895,0.014034431137733392,1,-0.16373502994011213,0.3574101796407124,0,0,53.3642691415298,-90.74010936434507,0.2611646025711981,18.224290549393448,2,S1_CONSERVADORA
2023-01-02 02:15:00,1.0688,1.06899,1.0688,1.06895,1.06884,-0.010290471958469011,0,-0.14967959212309498,0.371392487955473,0,0,56.064073226545645,-86.46562691842841,0.32672765951651644,24.882617426008256,2,S1_CONSERVADORA
2023-01-02 02:30:00,1.06895,1.06897,1.06883,1.06884,1.06878,-0.005613562366673121,0,-0.15998652745030859,0.3611391789229421,0,0,52.680652680651896,-85.53035874813743,0.2939825618366257,14.070344688272366,2,S1_CONSERVADORA
2023-01-02 02:45:00,1.06884,1.06901,1.06874,1.06878,1.06878,0.0,0,-0.1656093864031725,0.35554557532888204,0,0,44.85488126649276,-85.43916747720947,0.28120313252134477,11.055270826502904,2,S1_CONSERVADORA
2023-01-02 03:00:00,1.06878,1.06884,1.06878,1.06878,1.06881,0.0028069387525940315,1,-0.1656093864031725,0.35554557532888204,0,0,44.85488126649276,-86.51875587590092,0.2906370638476377,11.055270826502904,3,S1_CONSERVADORA
2023-01-02 03:15:00,1.06878,1.06882,1.06878,1.06881,1.06892,0.010291819874444896,1,-0.1627978780138521,0.35834245562822203,0,0,38.165680473375424,-79.8023971115252,0.30912650155491994,12.562807757387635,3,S1_CONSERVADORA
2023-01-02 03:30:00,1.06881,1.07019,1.06874,1.06892,1.06887,-0.004677618530863442,0,-0.15249036410580755,0.36859634023126653,0,0,37.23723723723804,-11.246827668746342,0.3392841040575269,18.090443170639087,3,S1_CONSERVADORA
2023-01-02 03:45:00,1.06892,1.06899,1.06879,1.06887,1.06997,0.10291242152928803,1,-0.15717533469925285,0.36393574522626226,0,0,36.68639053254407,-68.25969489963951,0.30098322659755566,15.577881619157097,3,S1_CONSERVADORA
2023-01-02 04:00:00,1.06899,1.07018,1.06876,1.06997,1.06996,-0.0009346056431549961,0,-0.05420712730261623,0.46636821593129246,0,0,56.65859564164644,34.662198187799575,0.7454047350593296,70.8542357516493,4,S1_CONSERVADORA
2023-01-02 04:15:00,1.06997,1.06997,1.06995,1.06996,1.06981,-0.014019215671622724,0,-0.055142248308335674,0.4654379602975798,0,0,44.09937888198766,70.22137442136528,0.7200765538127863,70.35172344135067,4,S1_CONSERVADORA
2023-01-02 04:30:00,1.06996,1.06997,1.0698,1.06981,1.06982,0.0009347454220904191,1,-0.06917116123423439,0.4514820388667044,0,0,41.616766467065545,50.91343937155725,0.6420355191670161,69.06073532555571,4,S1_CONSERVADORA
2023-01-02 04:45:00,1.06981,1.06984,1.0698,1.06982,1.06935,-0.043932624179765796,0,-0.06823577798133307,0.4524125553831444,0,0,42.04204204204444,43.73025901609229,0.6407744408432653,70.39102212792442,4,S1_CONSERVADORA
2023-01-02 05:00:00,1.06982,1.06989,1.06873,1.06935,1.06906,-0.027119278066126476,0,-0.11221770234253219,0.408659466030765,0,0,40.93567251462065,-21.382629387339115,0.4509858818247681,48.466227934833086,5,S1_CONSERVADORA
2023-01-02 05:15:00,1.06935,1.0695,1.06902,1.06906,1.0695,0.04115765251716424,1,-0.13937477784221575,0.38164368697733164,0,0,44.16403785488782,-37.299326721944624,0.3435358400770448,30.67482780685035,5,S1_CONSERVADORA
2023-01-02 05:30:00,1.06906,1.06968,1.06903,1.0695,1.06913,-0.03459560542309317,0,-0.0981767180925662,0.42262739597941634,0,0,61.74496644294917,-6.873375560879588,0.5279004133708848,52.73968990431709,5,S1_CONSERVADORA
2023-01-02 05:45:00,1.0695,1.06986,1.06824,1.06913,1.06935,0.020577478884710843,1,-0.13281827280124744,0.38816607896138694,0,0,52.81249999999714,-50.42235880482114,0.3902306929166987,45.64100223537746,5,S1_CONSERVADORA
2023-01-02 06:00:00,1.06913,1.06953,1.0691,1.06935,1.06931,-0.003740590078088559,0,-0.11221770234253219,0.408659466030765,0,0,57.703927492445914,-3.426453092677232,0.5136796586092217,56.92304773177057,6,S1_CONSERVADORA
2023-01-02 06:15:00,1.06935,1.06948,1.06924,1.06931,1.06933,0.0018703650017215757,1,-0.11596263010725681,0.4049340228745589,0,0,58.05471124619771,9.0901724610431,0.522410018401157,54.871766732425336,6,S1_CONSERVADORA
2023-01-02 06:30:00,1.06931,1.06973,1.06918,1.06933,1.06828,-0.09819232603592862,0,-0.11409013120365079,0.40679677929169245,0,0,58.308157099693815,31.925141404871745,0.5558876478483983,55.897407232092256,6,S1_CONSERVADORA
2023-01-02 06:45:00,1.06933,1.06941,1.06618,1.06828,1.06816,-0.011233010072256147,0,-0.21249110720035894,0.3089077769872935,0,0,43.87990762124635,-221.50793477779493,0.009016402083268048,52.36906424711501,6,S2_MODERADA
2023-01-02 07:00:00,1.06828,1.06896,1.06809,1.06816,1.06789,-0.0252771120431389,0,-0.22374925104852197,0.297708208508085,0,0,41.24423963133624,-132.00204961817292,0.011919957333243672,49.49998762500537,7,S2_MODERADA
2023-01-02 07:15:00,1.06814,1.06838,1.06643,1.06789,1.06801,0.011237112436664635,1,-0.24908932567960038,0.2724999765893461,0,0,39.25438596491329,-235.59856314028215,-0.02090938705003265,42.749989312505136,7,S2_MODERADA
2023-01-02 07:30:00,1.06789,1.06842,1.06773,1.06801,1.06785,-0.014981133135451727,0,-0.23782548852538712,0.28370520875271454,0,0,22.625698324020846,-145.76745759359525,0.08283522279428458,48.284947682069486,7,S3_AGRESSIVA
2023-01-02 07:45:00,1.068,1.06822,1.06627,1.06785,1.06743,-0.03933136676498244,0,-0.25284450063210423,0.268764339560793,0,0,21.715817694369306,-202.0721969247195,0.07404938776552748,44.063312912054116,7,S3_AGRESSIVA
2023-01-02 08:00:00,1.06789,1.068,1.06707,1.06743,1.06766,0.021547080370605327,1,-0.2922908293752086,0.2295232474260666,0,0,20.25000000000054,-171.59110463293996,0.0064706301926597655,33.692713290378116,8,S3_AGRESSIVA
2023-01-02 08:15:00,1.06742,1.06779,1.06718,1.06766,1.06795,0.027162205196401612,1,-0.2706854241986997,0.2510162411254534,0,0,24.407582938387336,-148.16285059426363,0.12573443411613475,39.89217253580544,8,S3_AGRESSIVA
2023-01-02 08:30:00,1.06766,1.06873,1.06746,1.06795,1.06787,-0.007490987405764125,0,-0.24345709068776025,0.27810290743947913,0,0,32.67326732673011,-79.5488594031562,0.23769241425489768,48.09781301689831,8,S1_CONSERVADORA
2023-01-02 08:45:00,1.06795,1.06963,1.06783,1.06787,1.0686,0.06836038094523654,1,-0.25096687799074735,0.27063219305721287,0,0,34.464751958224426,-35.03007426919173,0.23721442528771153,45.923900564161066,8,S1_CONSERVADORA
2023-01-02 09:00:00,1.06787,1.06993,1.06785,1.0686,1.06833,-0.025266704098820182,0,-0.18248175182480783,0.33876099569529816,0,0,39.07766990291179,7.676767676789007,0.4648269981225247,64.53331612444896,9,S1_CONSERVADORA
