trades,ganhos,perdas,wr,avg_ganho,avg_perda,pf,sharpe,drawdown,expectancy,far_below,far_above,close_above_sma200,sma_trend_up,mid_range,bullish_only,min_trades
43,20,23,46.51162790697674,0.5628173765293917,-0.3577885909432853,1.3678481639595683,9.592750201806114,-4.999235161393458,0.07040023113702956,False,False,True,True,False,False,5
43,20,23,46.51162790697674,0.5628173765293917,-0.3577885909432853,1.3678481639595683,9.592750201806114,-4.999235161393458,0.07040023113702956,False,False,True,True,False,False,10
43,20,23,46.51162790697674,0.5628173765293917,-0.3577885909432853,1.3678481639595683,9.592750201806114,-4.999235161393458,0.07040023113702956,False,False,True,True,False,False,20
82,38,44,46.34146341463415,0.5822936674337987,-0.35240214071993264,1.4270252196666864,10.788538185309967,-8.74042163006795,0.08074957525374774,False,False,True,False,False,False,5
82,38,44,46.34146341463415,0.5822936674337987,-0.35240214071993264,1.4270252196666864,10.788538185309967,-8.74042163006795,0.08074957525374774,False,False,True,False,False,False,10
82,38,44,46.34146341463415,0.5822936674337987,-0.35240214071993264,1.4270252196666864,10.788538185309967,-8.74042163006795,0.08074957525374774,False,False,True,False,False,False,20
49,22,27,44.89795918367347,0.5292722408526984,-0.3317376557060545,1.299985216447895,7.875028793666721,-5.036140044479324,0.05483821621828355,False,False,False,True,False,False,5
49,22,27,44.89795918367347,0.5292722408526984,-0.3317376557060545,1.299985216447895,7.875028793666721,-5.036140044479324,0.05483821621828355,False,False,False,True,False,False,10
49,22,27,44.89795918367347,0.5292722408526984,-0.3317376557060545,1.299985216447895,7.875028793666721,-5.036140044479324,0.05483821621828355,False,False,False,True,False,False,20
7,3,4,42.857142857142854,0.3821476691881056,-0.37957705038561884,0.7550295147245005,-10.159120169718767,-0.880519145118357,-0.05312359913973691,True,False,True,True,False,True,5
196,81,115,41.3265306122449,0.39580936369239383,-0.2849413794464265,0.9783998892007296,-0.6260136660479073,-13.595275125123315,-0.003610715190077274,False,False,False,False,False,False,5
196,81,115,41.3265306122449,0.39580936369239383,-0.2849413794464265,0.9783998892007296,-0.6260136660479073,-13.595275125123315,-0.003610715190077274,False,False,False,False,False,False,10
196,81,115,41.3265306122449,0.39580936369239383,-0.2849413794464265,0.9783998892007296,-0.6260136660479073,-13.595275125123315,-0.003610715190077274,False,False,False,False,False,False,20
22,9,13,40.909090909090914,0.6296922860820005,-0.3261075170366003,1.336769340865501,9.333131389298401,-2.062429105325293,0.06490149333010004,False,False,True,True,False,True,5
22,9,13,40.909090909090914,0.6296922860820005,-0.3261075170366003,1.336769340865501,9.333131389298401,-2.062429105325293,0.06490149333010004,False,False,True,True,False,True,10
22,9,13,40.909090909090914,0.6296922860820005,-0.3261075170366003,1.336769340865501,9.333131389298401,-2.062429105325293,0.06490149333010004,False,False,True,True,False,True,20
8,3,5,37.5,0.3821476691881056,-0.35506861216905516,0.6457222046977409,-15.824422654888672,-1.1352907632753606,-0.07861250666011987,True,False,True,True,False,False,5
