<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.04.27	18:15:00	1.17230	1.17244	1.17219	1.17222	302	0	8
2026.04.27	18:30:00	1.17222	1.17233	1.17213	1.17218	247	0	8
2026.04.27	18:45:00	1.17218	1.17230	1.17185	1.17196	399	0	8
2026.04.27	19:00:00	1.17196	1.17223	1.17187	1.17222	333	0	8
2026.04.27	19:15:00	1.17222	1.17251	1.17213	1.17246	365	0	8
2026.04.27	19:30:00	1.17246	1.17247	1.17221	1.17238	249	0	8
2026.04.27	19:45:00	1.17238	1.17256	1.17198	1.17201	467	0	8
2026.04.27	20:00:00	1.17204	1.17228	1.17204	1.17213	214	0	8
2026.04.27	20:15:00	1.17213	1.17221	1.17202	1.17208	130	0	8
2026.04.27	20:30:00	1.17208	1.17229	1.17206	1.17229	164	0	8
2026.04.27	20:45:00	1.17229	1.17229	1.17198	1.17201	206	0	8
2026.04.27	21:00:00	1.17222	1.17222	1.17195	1.17210	20	0	22
2026.04.27	21:15:00	1.17210	1.17217	1.17207	1.17209	29	0	14
2026.04.27	21:30:00	1.17209	1.17219	1.17208	1.17218	34	0	15
2026.04.27	21:45:00	1.17218	1.17218	1.17186	1.17210	124	0	8
2026.04.27	22:00:00	1.17207	1.17224	1.17191	1.17219	260	0	8
2026.04.27	22:15:00	1.17219	1.17223	1.17206	1.17217	201	0	8
2026.04.27	22:30:00	1.17217	1.17227	1.17216	1.17220	176	0	8
2026.04.27	22:45:00	1.17220	1.17228	1.17216	1.17219	219	0	8
2026.04.27	23:00:00	1.17219	1.17228	1.17217	1.17222	159	0	8
2026.04.27	23:15:00	1.17222	1.17228	1.17210	1.17216	150	0	8
2026.04.27	23:30:00	1.17216	1.17220	1.17212	1.17220	97	0	8
2026.04.27	23:45:00	1.17220	1.17227	1.17216	1.17227	122	0	8
2026.04.28	00:00:00	1.17228	1.17266	1.17224	1.17235	451	0	8
2026.04.28	00:15:00	1.17235	1.17240	1.17182	1.17198	529	0	8
2026.04.28	00:30:00	1.17198	1.17218	1.17183	1.17202	485	0	8
2026.04.28	00:45:00	1.17202	1.17216	1.17168	1.17185	482	0	8
2026.04.28	01:00:00	1.17185	1.17185	1.17138	1.17148	633	0	8
2026.04.28	01:15:00	1.17148	1.17164	1.17135	1.17159	309	0	8
2026.04.28	01:30:00	1.17159	1.17181	1.17148	1.17153	396	0	8
2026.04.28	01:45:00	1.17153	1.17157	1.17120	1.17125	449	0	8
2026.04.28	02:00:00	1.17125	1.17133	1.17108	1.17121	466	0	8
2026.04.28	02:15:00	1.17121	1.17127	1.17112	1.17123	389	0	8
2026.04.28	02:30:00	1.17123	1.17125	1.17098	1.17101	367	0	8
2026.04.28	02:45:00	1.17101	1.17106	1.17076	1.17081	322	0	8
2026.04.28	03:00:00	1.17081	1.17137	1.17077	1.17128	696	0	8
2026.04.28	03:15:00	1.17128	1.17169	1.17123	1.17165	361	0	8
2026.04.28	03:30:00	1.17165	1.17176	1.17133	1.17137	350	0	8
2026.04.28	03:45:00	1.17137	1.17142	1.17122	1.17130	182	0	8
2026.04.28	04:00:00	1.17130	1.17133	1.17114	1.17132	264	0	8
2026.04.28	04:15:00	1.17132	1.17141	1.17130	1.17137	252	0	8
2026.04.28	04:30:00	1.17137	1.17159	1.17135	1.17158	248	0	8
2026.04.28	04:45:00	1.17158	1.17160	1.17115	1.17122	281	0	8
2026.04.28	05:00:00	1.17122	1.17130	1.17091	1.17103	361	0	8
2026.04.28	05:15:00	1.17103	1.17127	1.17096	1.17125	206	0	8
2026.04.28	05:30:00	1.17125	1.17125	1.17070	1.17075	586	0	8
2026.04.28	05:45:00	1.17075	1.17090	1.17050	1.17057	459	0	8
2026.04.28	06:00:00	1.17057	1.17078	1.17012	1.17047	675	0	8
2026.04.28	06:15:00	1.17047	1.17052	1.17007	1.17037	639	0	8
2026.04.28	06:30:00	1.17037	1.17042	1.16991	1.16998	830	0	8
2026.04.28	06:45:00	1.16999	1.17007	1.16867	1.16873	1141	0	8
2026.04.28	07:00:00	1.16873	1.16940	1.16855	1.16931	1414	0	8
2026.04.28	07:15:00	1.16931	1.17005	1.16928	1.16958	920	0	6
2026.04.28	07:30:00	1.16957	1.16977	1.16931	1.16951	776	0	6
2026.04.28	07:45:00	1.16951	1.16994	1.16924	1.16963	737	0	6
2026.04.28	08:00:00	1.16965	1.17039	1.16945	1.17004	1296	0	6
2026.04.28	08:15:00	1.17004	1.17075	1.17004	1.17064	810	0	6
2026.04.28	08:30:00	1.17063	1.17067	1.16990	1.17009	825	0	6
2026.04.28	08:45:00	1.17009	1.17035	1.16999	1.17019	558	0	6
2026.04.28	09:00:00	1.17018	1.17018	1.16976	1.17000	761	0	6
2026.04.28	09:15:00	1.17000	1.17000	1.16946	1.16949	637	0	6
2026.04.28	09:30:00	1.16949	1.16952	1.16861	1.16910	639	0	6
2026.04.28	09:45:00	1.16910	1.16988	1.16901	1.16920	1131	0	6
2026.04.28	10:00:00	1.16920	1.16938	1.16902	1.16910	768	0	6
2026.04.28	10:15:00	1.16910	1.16931	1.16902	1.16912	508	0	6
2026.04.28	10:30:00	1.16913	1.16954	1.16911	1.16938	620	0	6
2026.04.28	10:45:00	1.16936	1.16955	1.16908	1.16929	708	0	6
2026.04.28	11:00:00	1.16928	1.16991	1.16923	1.16956	865	0	6
2026.04.28	11:15:00	1.16956	1.16974	1.16928	1.16944	740	0	6
2026.04.28	11:30:00	1.16944	1.16944	1.16876	1.16901	1029	0	6
2026.04.28	11:45:00	1.16901	1.16901	1.16818	1.16827	1375	0	6
2026.04.28	12:00:00	1.16827	1.16834	1.16771	1.16827	1256	0	6
2026.04.28	12:15:00	1.16827	1.16928	1.16821	1.16891	1642	0	6
2026.04.28	12:30:00	1.16891	1.16968	1.16852	1.16943	889	0	6
2026.04.28	12:45:00	1.16943	1.16997	1.16942	1.16966	913	0	6
2026.04.28	13:00:00	1.16966	1.16974	1.16932	1.16940	1001	0	6
2026.04.28	13:15:00	1.16940	1.16996	1.16882	1.16988	1132	0	6
2026.04.28	13:30:00	1.16986	1.17034	1.16910	1.17012	1759	0	6
2026.04.28	13:45:00	1.17012	1.17024	1.16963	1.16970	1207	0	6
2026.04.28	14:00:00	1.16972	1.16984	1.16902	1.16970	1419	0	6
2026.04.28	14:15:00	1.16970	1.16990	1.16934	1.16963	1088	0	6
2026.04.28	14:30:00	1.16964	1.17030	1.16946	1.16964	1303	0	6
2026.04.28	14:45:00	1.16964	1.17007	1.16925	1.17007	2143	0	6
2026.04.28	15:00:00	1.17006	1.17093	1.17006	1.17043	1805	0	6
2026.04.28	15:15:00	1.17043	1.17125	1.17029	1.17104	1103	0	6
2026.04.28	15:30:00	1.17104	1.17155	1.17075	1.17112	1013	0	6
2026.04.28	15:45:00	1.17112	1.17137	1.17097	1.17134	921	0	6
2026.04.28	16:00:00	1.17134	1.17167	1.17120	1.17127	793	0	6
2026.04.28	16:15:00	1.17127	1.17128	1.17057	1.17062	779	0	6
2026.04.28	16:30:00	1.17062	1.17093	1.17051	1.17087	573	0	6
2026.04.28	16:45:00	1.17087	1.17118	1.17072	1.17103	772	0	6
2026.04.28	17:00:00	1.17103	1.17115	1.17065	1.17098	573	0	6
2026.04.28	17:15:00	1.17098	1.17104	1.17062	1.17094	523	0	6
2026.04.28	17:30:00	1.17094	1.17141	1.17090	1.17123	593	0	6
2026.04.28	17:45:00	1.17123	1.17175	1.17122	1.17133	714	0	6
2026.04.28	18:00:00	1.17133	1.17154	1.17112	1.17123	494	0	6
2026.04.28	18:15:00	1.17123	1.17158	1.17122	1.17151	631	0	6
2026.04.28	18:30:00	1.17151	1.17156	1.17131	1.17154	454	0	6
2026.04.28	18:45:00	1.17154	1.17159	1.17110	1.17113	323	0	6
2026.04.28	19:00:00	1.17113	1.17149	1.17106	1.17107	301	0	6
2026.04.28	19:15:00	1.17107	1.17108	1.17083	1.17090	390	0	6
2026.04.28	19:30:00	1.17090	1.17100	1.17080	1.17083	408	0	6
2026.04.28	19:45:00	1.17083	1.17096	1.17068	1.17095	349	0	6
2026.04.28	20:00:00	1.17095	1.17141	1.17090	1.17118	337	0	6
2026.04.28	20:15:00	1.17118	1.17123	1.17111	1.17121	113	0	6
2026.04.28	20:30:00	1.17121	1.17148	1.17121	1.17140	244	0	7
2026.04.28	20:45:00	1.17140	1.17144	1.17125	1.17126	173	0	8
2026.04.28	21:00:00	1.17114	1.17130	1.17114	1.17125	27	0	23
2026.04.28	21:15:00	1.17125	1.17131	1.17120	1.17125	31	0	26
2026.04.28	21:30:00	1.17124	1.17131	1.17116	1.17123	41	0	26
2026.04.28	21:45:00	1.17123	1.17133	1.17092	1.17126	63	0	18
2026.04.28	22:00:00	1.17128	1.17179	1.17128	1.17172	336	0	8
2026.04.28	22:15:00	1.17172	1.17172	1.17141	1.17141	87	0	8
2026.04.28	22:30:00	1.17141	1.17157	1.17141	1.17154	146	0	8
2026.04.28	22:45:00	1.17154	1.17156	1.17151	1.17153	173	0	8
2026.04.28	23:00:00	1.17153	1.17162	1.17151	1.17152	77	0	8
2026.04.28	23:15:00	1.17152	1.17161	1.17151	1.17154	82	0	8
2026.04.28	23:30:00	1.17154	1.17163	1.17150	1.17162	73	0	8
2026.04.28	23:45:00	1.17162	1.17173	1.17160	1.17172	168	0	8
2026.04.29	00:00:00	1.17172	1.17202	1.17172	1.17180	253	0	6
2026.04.29	00:15:00	1.17180	1.17183	1.17142	1.17153	256	0	6
2026.04.29	00:30:00	1.17153	1.17183	1.17153	1.17179	165	0	6
2026.04.29	00:45:00	1.17179	1.17180	1.17145	1.17153	305	0	6
2026.04.29	01:00:00	1.17153	1.17158	1.17068	1.17071	857	0	6
2026.04.29	01:15:00	1.17071	1.17111	1.17069	1.17104	492	0	6
2026.04.29	01:30:00	1.17104	1.17155	1.17089	1.17146	831	0	6
